Date,Open,High,Low,Close,Adj Close,Volume
2016.8.29,32040,32800,31940,32800,28289.05664,8925750
2016.8.30,32940,33420,32660,32900,28375.30078,7849600
2016.8.31,32820,32820,32220,32400,27944.06836,20532200
2016.9.1,31660,31760,31260,31740,27374.83789,18790150
2016.9.2,31900,32260,31760,31940,27547.33203,8153000
2016.9.5,31800,32300,31700,32120,27702.57617,8383800
2016.9.6,32140,32900,31940,32860,28340.80469,7660150
2016.9.7,32960,33040,32420,32420,27961.31641,9591850
2016.9.8,32460,32780,32280,32780,28271.8125,12070850
2016.9.9,32220,32360,31280,31500,27167.8457,13258400
2016.9.12,29800,30120,29120,29300,25270.40625,26499350
2016.9.13,30160,30980,29900,30540,26339.87109,24717250
2016.9.19,30760,31380,30720,31160,26874.60352,22408150
2016.9.20,31180,31760,31180,31700,27340.33789,12921150
2016.9.21,31900,32020,31520,31840,27461.08398,10509050
2016.9.22,32000,32820,31980,32360,27909.56836,11429950
2016.9.23,31640,31960,31320,31420,27098.8457,18299650
2016.9.26,31420,31920,31280,31360,27047.10352,14524800
2016.9.27,31000,31500,30660,31380,27064.34766,9834400
2016.9.28,31080,31460,31080,31340,27029.84766,8706400
2016.9.29,31460,32380,31440,32000,27599.08008,11397550
2016.9.30,31800,32300,31700,31960,27564.57813,11762700
2016.10.4,32200,32480,32120,32280,27840.57031,13053100
2016.10.5,32020,32520,31940,32380,27926.82031,12470450
2016.10.6,33920,34000,33340,33820,29168.77539,29558150
2016.10.7,34000,34320,33800,34120,29427.52148,26050550
2016.10.10,33000,33780,32560,33600,28979.0332,25293300
2016.10.11,32000,32500,30900,30900,26650.36719,38427150
2016.10.12,29900,30900,29880,30700,26477.86328,39088550
2016.10.13,31000,31620,30900,31140,26857.35547,21864550
2016.10.14,30960,31760,30940,31540,27202.34375,14158950
2016.10.17,31300,32040,30760,31800,27426.58789,12785200
2016.10.18,31440,31900,31440,31780,27409.33203,10384500
2016.10.19,31580,32860,31500,32500,28030.31836,15444550
2016.10.20,32520,33020,32180,32400,27944.06836,10330450
2016.10.21,32120,32260,31760,31780,27409.33203,10477500
2016.10.24,31860,32160,31800,32160,27737.07813,9289950
2016.10.25,32000,32080,31840,31940,27547.33203,9866100
2016.10.26,31940,31980,31240,31340,27029.84766,10534000
2016.10.27,31420,32340,31120,31460,27133.3457,14117000
2016.10.28,31600,32280,31600,32280,27840.57031,10214200
2016.10.31,32320,32780,32220,32780,28271.8125,12067200
2016.11.1,32600,33040,32240,33040,28496.05273,10347400
2016.11.2,32800,33040,32620,32860,28340.80469,10099250
2016.11.3,32600,32800,32120,32320,27875.06641,10341850
2016.11.4,32100,32680,32100,32540,28064.81445,7103850
2016.11.7,32940,33000,32680,32800,28289.05664,7661900
2016.11.8,32980,32980,32700,32880,28358.05469,5417450
2016.11.9,32920,33140,31820,31920,27530.08398,15683600
2016.11.10,32600,33000,32360,32980,28444.30664,11795350
2016.11.11,31700,32360,31700,31960,27564.57813,12836800
2016.11.14,31900,31920,31040,31060,26788.35547,15133300
2016.11.15,31060,31620,30780,30780,26546.86328,13665700
2016.11.16,30800,31280,30800,31160,26874.60352,13308200
2016.11.17,31100,31520,30900,31360,27047.10352,7870550
2016.11.18,31640,31760,31400,31720,27357.58789,9460750
2016.11.21,31300,32120,31300,31860,27478.33594,8180200
2016.11.22,32140,32900,32000,32800,28289.05664,9751100
2016.11.23,33220,33220,32520,32980,28444.30664,12668600
2016.11.24,32980,33040,32660,33000,28461.54883,7757150
2016.11.25,32820,33040,32660,33000,28461.54883,6276900
2016.11.28,33000,33620,32800,33540,28927.2832,13294050
2016.11.29,33800,33960,33380,33540,28927.2832,18081300
2016.11.30,33540,34940,33540,34920,30117.49805,28535200
2016.12.1,34800,35060,34660,34980,30169.24414,15535350
2016.12.2,34480,34760,34140,34540,29789.75781,15352950
2016.12.5,34340,34680,34220,34360,29634.50586,8484600
2016.12.6,34440,35200,34400,34960,30151.99805,14001800
2016.12.7,35040,35480,35040,35440,30565.97461,9603650
2016.12.8,35980,36020,35520,35800,30876.46875,16462550
2016.12.9,35900,35900,35400,35600,30703.98047,10652450
2016.12.12,34660,35360,34660,35040,30220.99609,11414450
2016.12.13,34620,35440,34620,35320,30462.48828,11684450
